message_id,channel_name,image_name,detected_objects,confidence_score,image_category
16399,Thequorachannel,16399.jpg,,0.0,other
16400,Thequorachannel,16400.jpg,,0.0,other
16401,Thequorachannel,16401.jpg,,0.0,other
16402,Thequorachannel,16402.jpg,,0.0,other
16403,Thequorachannel,16403.jpg,,0.0,other
16404,Thequorachannel,16404.jpg,clock,0.909,other
16407,Thequorachannel,16407.jpg,,0.0,other
16408,Thequorachannel,16408.jpg,,0.0,other
16410,Thequorachannel,16410.jpg,,0.0,other
16413,Thequorachannel,16413.jpg,,0.0,other
16415,Thequorachannel,16415.jpg,,0.0,other
16417,Thequorachannel,16417.jpg,,0.0,other
16418,Thequorachannel,16418.jpg,clock,0.909,other
16419,Thequorachannel,16419.jpg,"car, person, person",0.84,lifestyle
16421,Thequorachannel,16421.jpg,"person, person",0.894,lifestyle
16422,Thequorachannel,16422.jpg,,0.0,other
16423,Thequorachannel,16423.jpg,,0.0,other
16424,Thequorachannel,16424.jpg,"person, person, chair, tv, cell phone",0.923,promotional
16425,Thequorachannel,16425.jpg,,0.0,other
16426,Thequorachannel,16426.jpg,,0.0,other
16428,Thequorachannel,16428.jpg,,0.0,other
16431,Thequorachannel,16431.jpg,,0.0,other
16433,Thequorachannel,16433.jpg,,0.0,other
16434,Thequorachannel,16434.jpg,,0.0,other
16435,Thequorachannel,16435.jpg,"laptop, book, book, book, book, cup, mouse, person, book, mouse",0.942,promotional
16436,Thequorachannel,16436.jpg,,0.0,other
16439,Thequorachannel,16439.jpg,,0.0,other
16440,Thequorachannel,16440.jpg,,0.0,other
16441,Thequorachannel,16441.jpg,,0.0,other
16443,Thequorachannel,16443.jpg,,0.0,other
16444,Thequorachannel,16444.jpg,"zebra, clock, cow, clock, clock",0.844,other
16446,Thequorachannel,16446.jpg,,0.0,other
16448,Thequorachannel,16448.jpg,"person, person, laptop, potted plant, laptop, tv, person, person, person, chair, person, chair, laptop, chair, chair, chair, laptop, dining table, chair, chair, chair",0.84,lifestyle
16449,Thequorachannel,16449.jpg,"person, chair, chair, person, potted plant, person, person, laptop, chair, laptop, chair, chair, dining table, chair, person, person, tv, chair, chair, chair",0.885,lifestyle
16451,Thequorachannel,16451.jpg,,0.0,other
16452,Thequorachannel,16452.jpg,"person, person, tv, tie",0.864,lifestyle
16455,Thequorachannel,16455.jpg,clock,0.327,other
16457,Thequorachannel,16457.jpg,,0.0,other
16458,Thequorachannel,16458.jpg,,0.0,other
16459,Thequorachannel,16459.jpg,,0.0,other
16460,Thequorachannel,16460.jpg,,0.0,other
16462,Thequorachannel,16462.jpg,"kite, frisbee",0.517,other
16463,Thequorachannel,16463.jpg,,0.0,other
16466,Thequorachannel,16466.jpg,,0.0,other
16467,Thequorachannel,16467.jpg,,0.0,other
16468,Thequorachannel,16468.jpg,,0.0,other
16469,Thequorachannel,16469.jpg,"person, person, book",0.941,promotional
16470,Thequorachannel,16470.jpg,,0.0,other
16471,Thequorachannel,16471.jpg,,0.0,other
16472,Thequorachannel,16472.jpg,,0.0,other
16473,Thequorachannel,16473.jpg,"person, person, tv, tie",0.864,lifestyle
16476,Thequorachannel,16476.jpg,clock,0.538,other
16477,Thequorachannel,16477.jpg,,0.0,other
16478,Thequorachannel,16478.jpg,traffic light,0.341,other
16479,Thequorachannel,16479.jpg,,0.0,other
16480,Thequorachannel,16480.jpg,,0.0,other
16481,Thequorachannel,16481.jpg,,0.0,other
16482,Thequorachannel,16482.jpg,clock,0.543,other
16483,Thequorachannel,16483.jpg,"clock, kite",0.638,other
16484,Thequorachannel,16484.jpg,,0.0,other
16485,Thequorachannel,16485.jpg,traffic light,0.341,other
16486,Thequorachannel,16486.jpg,,0.0,other
16487,Thequorachannel,16487.jpg,,0.0,other
16488,Thequorachannel,16488.jpg,,0.0,other
16489,Thequorachannel,16489.jpg,"book, book, book",0.656,product_display
16490,Thequorachannel,16490.jpg,,0.0,other
16491,Thequorachannel,16491.jpg,kite,0.318,other
16492,Thequorachannel,16492.jpg,,0.0,other
16494,Thequorachannel,16494.jpg,,0.0,other
16495,Thequorachannel,16495.jpg,,0.0,other
16497,Thequorachannel,16497.jpg,,0.0,other
16499,Thequorachannel,16499.jpg,clock,0.327,other
16501,Thequorachannel,16501.jpg,,0.0,other
16502,Thequorachannel,16502.jpg,"chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair",0.732,other
16503,Thequorachannel,16503.jpg,"refrigerator, refrigerator",0.572,other
16504,Thequorachannel,16504.jpg,"tv, cell phone",0.472,product_display
16505,Thequorachannel,16505.jpg,,0.0,other
